Geocodigo,Município,Natura_Maior,Solo,Risco_Plantio_Perc,Latitude,Longitude
5106703,Ponte Branca,Mamona,AD1,26.666666666666668,-16.659084753712104,-52.93304524358991
5106752,Pontes e Lacerda,Mamona,AD1,30.0,-15.514311793317265,-59.454439932796205
5106778,Porto Alegre do Norte,Mamona,AD1,27.5,-10.825256565027217,-51.711933093012405
5106802,Porto dos Gaúchos,Mamona,AD1,27.5,-11.73093492068797,-56.7471461067697
5106828,Porto Esperidião,Mamona,AD1,27.5,-15.957045452295375,-58.980782464830355
5106851,Porto Estrela,Mamona,AD1,30.0,-15.523494323481842,-57.214663521014394
5107008,Poxoréu,Mamona,AD1,26.666666666666668,-15.852710861551811,-54.18169244415186
5107040,Primavera do Leste,Mamona,AD1,23.333333333333332,-15.098022644020723,-54.219233041235384
5107065,Querência,Mamona,AD1,27.5,-12.161014471888471,-52.74211546561423
5107107,São José dos Quatro Marcos,Mamona,AD1,30.0,-15.566426878328222,-58.295705273907295
5107156,Reserva do Cabaçal,Mamona,AD1,26.666666666666668,-14.928559981466003,-58.45905835355342
5107180,Ribeirão Cascalheira,Mamona,AD1,27.5,-12.873742627394721,-51.56710780726523
5107198,Ribeirãozinho,Mamona,AD1,23.333333333333332,-16.493505314151616,-52.7594911181377
5107206,Rio Branco,Mamona,AD1,30.0,-15.274767031398804,-58.149333093863056
5107248,Santa Carmem,Mamona,AD1,22.5,-11.935518330045154,-54.902444971026476
5107263,Santo Afonso,Mamona,AD1,27.5,-14.450272135853092,-57.34370603890558
5107297,São José do Povo,Mamona,AD1,21.666666666666668,-16.46227330136516,-54.27402968051844
5107305,São José do Rio Claro,Mamona,AD1,23.333333333333332,-13.551869784680765,-56.81095930949363
5107354,São José do Xingu,Mamona,AD1,25.0,-10.695982348626018,-52.61579895974863
5107404,São Pedro da Cipa,Mamona,AD1,26.666666666666668,-15.953997859964243,-54.74025601782925
5107578,Rondolândia,Mamona,AD1,30.0,-10.462444712573014,-61.00984291307058
5107602,Rondonópolis,Mamona,AD1,25.0,-16.519500838631025,-54.66792116978538
5107701,Rosário Oeste,Mamona,AD1,27.5,-14.767396380866032,-55.93275659288523
5107743,Santa Cruz do Xingu,Mamona,AD1,27.5,-10.064404146776573,-52.540494895693676
5107750,Salto do Céu,Mamona,AD1,26.666666666666668,-15.053249549183949,-58.05458784821218
5107768,Santa Rita do Trivelato,Mamona,AD1,25.0,-13.832069684167733,-55.29382874573935
5107776,Santa Terezinha,Mamona,AD1,27.5,-10.331537776111002,-50.791290575195205
5107792,Santo Antônio do Leste,Mamona,AD1,25.0,-14.818649026805433,-53.670437200860135
5107800,Santo Antônio do Leverger,Mamona,AD1,26.666666666666668,-16.4552683966884,-55.440113057108384
5107859,São Félix do Araguaia,Mamona,AD1,27.5,-11.453840280729123,-51.959796379037996
5107875,Sapezal,Mamona,AD1,25.0,-13.150822087336527,-58.65298706412312
5107883,Serra Nova Dourada,Mamona,AD1,27.5,-12.02165092665509,-51.36168825865213
5107909,Sinop,Mamona,AD1,30.0,-11.711399908126596,-55.49947101896879
5107925,Sorriso,Mamona,AD1,21.666666666666668,-12.74033175586318,-55.67779819075841
5107941,Tabaporã,Mamona,AD1,25.0,-11.211781404273712,-56.48963151041759
5107958,Tangará da Serra,Mamona,AD1,25.0,-14.422952119913237,-58.318040864156096
5108006,Tapurah,Mamona,AD1,22.5,-12.570548033552113,-56.531458770730495
5108055,Terra Nova do Norte,Mamona,AD1,27.5,-10.506779914719912,-54.979172443924476
5108105,Tesouro,Mamona,AD1,23.333333333333332,-15.893030615585698,-53.45564040604555
5108204,Torixoréu,Mamona,AD1,23.333333333333332,-16.29424944402254,-52.888900441830685
5108303,União do Sul,Mamona,AD1,27.5,-11.527642993700484,-54.315102923962655
5108352,Vale de São Domingos,Mamona,AD1,25.0,-14.961807899468528,-58.95385752269189
5108402,Várzea Grande,Mamona,AD1,25.0,-15.556068652054215,-56.280952976765775
5108501,Vera,Mamona,AD1,27.5,-12.420433146161905,-55.34478313969106
5108600,Vila Rica,Mamona,AD1,27.5,-9.980651477688639,-51.40371690705632
5108808,Nova Guarita,Mamona,AD1,25.0,-10.288569546717577,-55.33645336132452
5108857,Nova Marilândia,Mamona,AD1,25.0,-14.289316011574394,-57.26404195200284
5108907,Nova Maringá,Mamona,AD1,22.5,-12.785005997599495,-57.21961127263213
5108956,Nova Monte Verde,Mamona,AD1,22.5,-9.96419551796402,-57.25094409526379
